LGA Name,LGA Code,Departmental Region,Index of Relative Socio-Economic Disadvantage (IRSD),Index of Relative Socio-Economic Disadvantage (IRSD) (rank),Percentage of highly disadvantaged SA1s,Percentage of highly disadvantaged SA1s (rank),People with income less than $400 per week,People with income less than $400 per week (rank),Median household income,Median household income (rank),Median house price,Median house price (rank),Journeys to work which are by car,Journeys to work which are by car (rank),People with at least 2 hour daily commute,People with at least 2 hour daily commute (rank),People at increased risk of alcohol-related harm on a single occasion of drinking,People at increased risk of alcohol-related harm on a single occasion of drinking (rank),People reporting fair or poor health status,People reporting fair or poor health status (rank),"Clients that received Alcohol & Drug Treatment Services per 1,000 population","Clients that received Alcohol & Drug Treatment Services per 1,000 population (rank)"
ALPINE,20110,Hume,987,35,23.8%,33,44.8%,21,$829,67,"$265,000",50,43.9%,77,8.3%,35,56.1%,6,19.3%,10,1.0,78
ARARAT ,20260,Grampians,951,11,45.5%,8,43.3%,30,$844,64,"$193,000",68,68.7%,38,NA,NA,48.2%,31,14.4%,45,11.5,4
BALLARAT,20570,Grampians,981,29,31.5%,23,41.7%,39,$988,44,"$294,000",48,73.8%,15,4.7%,47,53.7%,15,12.3%,60,5.5,31
BANYULE,20660,Northern Metropolitan,"1,047",67,8.3%,60,36.9%,68,"$1,394",12,"$620,000",17,64.1%,55,20.6%,5,40.7%,64,16.7%,31,3.7,54
BASS COAST,20740,Gippsland,978,27,21.6%,36,43.8%,26,$855,61,"$340,000",38,71.4%,25,6.8%,40,45.2%,44,17.7%,20,7.1,17
BAW BAW,20830,Gippsland,998,47,15.2%,54,41.5%,41,"$1,025",40,"$309,000",44,69.9%,32,10.8%,25,42.9%,59,12.9%,58,5.1,35
BAYSIDE,20910,Southern Metropolitan,"1,091",77,2.3%,73,32.7%,76,"$1,826",3,"$1,250,000",3,62.7%,57,14.1%,20,50.5%,23,8.5%,78,2.8,67
BENALLA ,21010,Hume,957,16,29.7%,26,44.8%,22,$827,69,"$235,500",59,69.3%,34,NA,NA,40.2%,66,9.8%,71,3.2,62
BOROONDARA,21110,Eastern Metropolitan,"1,098",78,0.8%,75,33.3%,75,"$1,893",1,"$1,550,000",1,56.6%,68,5.5%,43,48.8%,28,10.3%,68,2.5,70
BRIMBANK,21180,Western Metropolitan,926,3,59.1%,3,48.3%,6,"$1,106",34,"$405,000",28,71.5%,24,16.7%,11,33.8%,74,23.8%,3,6.3,24
BULOKE,21270,Loddon Mallee,968,22,38.1%,16,49.6%,5,$742,76,"$95,000",77,56.7%,67,NA,NA,45.6%,42,21.6%,6,2.8,68
